time,Open,High,Low,Close,Volume
2021-01-01,1.51,1.865,1.495,1.847,1125773.54
2021-01-02,1.847,2.012,1.752,1.799,1060347.35
2021-01-03,1.799,2.808,2.007,2.185,1475936.63
2021-01-04,2.185,2.573,2.066,2.491,1543191.05
2021-01-05,2.491,2.634,2.145,2.158,1246011.66
2021-01-06,2.158,2.628,1.895,1.925,1235109.61
2021-01-07,1.958,2.652,1.939,2.36,1657680.12
2021-01-08,2.36,3.815,2.182,3.225,2032046.03
2021-01-09,3.225,3.681,2.932,3.381,938188.86
2021-01-10,3.381,3.762,3.165,3.471,662473.96
2021-01-11,3.471,3.516,2.599,3.118,1187947.45
2021-01-12,3.118,3.919,3.084,3.737,1005517.84
2021-01-13,3.737,4.175,3.263,3.647,676796.96
2021-01-14,3.647,3.791,3.246,3.326,691711.54
2021-01-15,3.326,3.635,2.978,3.245,574281.91
2021-01-16,3.245,3.699,3.245,3.449,463418.94
2021-01-17,3.449,3.999,3.313,3.824,697433.44
2021-01-18,3.824,4.153,3.621,3.798,854065.36
2021-01-19,3.798,4.09,3.582,3.635,840275.37
2021-01-20,3.635,3.739,3.345,3.736,712145.73
2021-01-21,3.736,3.736,2.952,2.997,703791.98
2021-01-22,2.997,3.504,2.576,3.329,826775.76
2021-01-23,3.329,3.606,3.313,3.517,470767.61
2021-01-24,3.517,3.797,3.49,3.644,661113.67
2021-01-25,3.644,3.987,3.448,3.7,794632.0
2021-01-26,3.7,4.099,3.687,4.031,1000392.82
2021-01-27,4.031,4.033,3.521,3.693,331130.31
2021-01-28,3.693,3.952,3.618,3.847,344118.78
2021-01-29,3.814,4.012,3.602,3.827,655289.91
2021-01-30,3.839,4.325,3.789,4.218,771726.59
2021-01-31,4.218,4.792,4.167,4.263,1439455.37
2021-02-01,4.263,4.616,4.094,4.616,437158.49
2021-02-02,4.616,5.393,4.476,5.255,1033097.85
2021-02-03,5.255,5.783,5.077,5.736,1034840.35
2021-02-04,5.736,6.616,5.58,6.425,860541.08
2021-02-05,6.425,7.125,6.425,6.69,854836.91
2021-02-06,6.69,6.808,5.732,6.103,764218.54
2021-02-07,6.103,6.9,5.758,6.689,616638.29
2021-02-08,6.689,8.105,6.49,7.881,574707.56
2021-02-09,7.881,8.566,7.616,7.858,863891.5
2021-02-10,7.858,9.07,7.64,9.069,578521.83
2021-02-11,9.069,9.695,8.793,9.236,834063.84
2021-02-12,9.236,9.905,9.093,9.226,350351.49
2021-02-13,9.226,9.519,8.653,8.756,457473.27
2021-02-14,8.756,9.208,8.555,8.73,722328.49
2021-02-15,8.73,9.304,7.77,8.842,570407.09
2021-02-16,8.842,8.99,7.977,8.299,417433.57
2021-02-17,8.299,8.42,7.544,8.231,366103.63
2021-02-18,8.231,9.288,8.231,8.967,391615.58
2021-02-19,8.967,11.54,8.562,11.49,981582.69
2021-02-20,11.49,12.03,9.833,10.0,584433.99
2021-02-21,10.0,11.7,9.874,11.12,589611.02
2021-02-22,11.12,14.67,9.42,14.41,2204776.1
2021-02-23,14.41,15.83,11.67,15.21,2409768.35
2021-02-24,15.21,18.15,14.06,17.33,1327825.58
2021-02-25,17.33,17.74,13.79,13.8,1300050.6
2021-02-26,13.8,15.51,13.07,13.6,1041147.05
2021-02-27,13.6,14.78,13.03,13.19,568624.39
