Dystans (m),Wysokość (m)
0,6625.02734375
15.270572809611386,6621.19091796875
30.54114561922277,6618.478515625
45.811718428834155,6616.08251953125
61.08229123844554,6614.0029296875
76.35286404805693,6612.2392578125
91.62343685766831,6610.79248046875
106.8940096672797,6610.2158203125
122.16458247689108,6610.06494140625
137.43515528650246,6610.23046875
152.70572809611386,6610.71240234375
167.97630090572525,6611.51025390625
183.24687371533662,6612.625
198.517446524948,6614.0556640625
213.7880193345594,6614.82177734375
229.05859214417077,6615.27392578125
244.32916495378217,6615.50048828125
259.59973776339353,6615.5009765625
274.87031057300493,6615.27587890625
290.1408833826163,6614.82421875
305.4114561922277,6614.39453125
320.6820290018391,6614.17431640625
335.9526018114505,6614.0126953125
351.22317462106184,6613.85107421875
366.49374743067324,6613.68896484375
381.76432024028463,6613.52734375
397.034893049896,6613.40234375
412.3054658595074,6613.388671875
427.5760386691188,6613.17919921875
442.84661147873015,6612.13818359375
458.11718428834155,6610.9169921875
473.38775709795294,6609.51513671875
488.65832990756434,6607.92529296875
503.92890271717573,6606.212890625
519.1994755267871,6604.455078125
534.4700483363985,6602.6767578125
549.7406211460099,6601.02685546875
565.0111939556213,6599.421875
580.2817667652326,6597.8623046875
595.552339574844,6596.5068359375
610.8229123844554,6595.19873046875
626.0934851940668,6593.93505859375
641.3640580036782,6592.8056640625
656.6346308132896,6593.21435546875
671.905203622901,6593.84912109375
687.1757764325123,6595.00830078125
702.4463492421237,6596.525390625
717.7169220517351,6598.3134765625
732.9874948613465,6600.373046875
748.2580676709579,6602.703125
763.5286404805693,6605.78076171875
778.7992132901807,6610.64501953125
794.069786099792,6616.99755859375
809.3403589094034,6623.7568359375
824.6109317190148,6630.9228515625
839.8815045286262,6638.49560546875
855.1520773382376,6646.47509765625
870.422650147849,6659.98486328125
885.6932229574603,6676.01708984375
900.9637957670717,6691.958984375
916.2343685766831,6707.81005859375
931.5049413862945,6723.5712890625
946.7755141959059,6739.24169921875
962.0460870055173,6754.7109375
977.3166598151287,6767.3759765625
992.5872326247401,6779.8642578125
1007.8578054343515,6792.80419921875
1023.1283782439629,6806.19580078125
1038.3989510535741,6820.0400390625
1053.6695238631855,6834.33544921875
1068.940096672797,6847.99755859375
1084.2106694824083,6861.11669921875
1099.4812422920197,6874.02587890625
1114.751815101631,6887.11572265625
1130.0223879112425,6900.38623046875
1145.292960720854,6913.83740234375
1160.5635335304653,6927.060546875
1175.8341063400767,6940.23095703125
1191.104679149688,6953.04345703125
1206.3752519592995,6965.49658203125
1221.6458247689109,6978.0859375
1236.9163975785223,6990.81005859375
1252.1869703881337,7003.49072265625
1267.457543197745,7015.76318359375
1282.7281160073564,7027.76416015625
1297.9986888169678,7039.33349609375
1313.2692616265792,7050.5244140625
1328.5398344361906,7061.625
1343.810407245802,7072.91064453125
1359.0809800554134,7085.66162109375
1374.3515528650246,7098.91015625
1389.622125674636,7112.6552734375
1404.8926984842474,7127.02001953125
1420.1632712938588,7141.7294921875
1435.4338441034702,7156.2578125
1450.7044169130816,7169.07861328125
1465.974989722693,7182.14306640625
1481.2455625323043,7195.5244140625
1496.5161353419157,7209.2216796875
1511.7867081515271,7223.11376953125
1527.0572809611385,7236.61181640625
1542.32785377075,7250.3369140625
1557.5984265803613,7264.26171875
1572.8689993899727,7278.322265625
1588.139572199584,7292.51806640625
1603.4101450091955,7306.849609375
1618.680717818807,7321.31396484375
1633.9512906284183,7336.26708984375
1649.2218634380297,7351.515625
1664.492436247641,7366.67431640625
1679.7630090572525,7381.7421875
1695.0335818668639,7396.7197265625
1710.3041546764753,7411.60693359375
1725.5747274860867,7426.267578125
1740.845300295698,7441.0986328125
1756.1158731053094,7456.169921875
1771.3864459149206,7471.46728515625
